Problem,Solution
🍎 + 🍎 = 10,🍎 = 5
🚗 + 🚗 + 🚗 = 21,🚗 = 7
🐶 + 🐶 - 🐶 = 5,🐶 = 5
🌟 + 🌟 + 🌟 + 🌟 = 20,🌟 = 5
🍌 + 🍌 + 🍇 = 13 (🍇 = 7),🍌 = 3
🍕 + 🍕 = 16,🍕 = 8
🦄 + 🦄 + 🦄 = 24,🦄 = 8
⚽ + ⚽ + ⚽ + ⚽ = 32,⚽ = 8
🍓 + 🍓 + 🍓 = 18,🍓 = 6
🎈 + 🎈 = 14,🎈 = 7
🍍 + 🍍 - 🍍 = 6,🍍 = 6
🐱 + 🐱 = 12,🐱 = 6
🌈 + 🌈 + 🌈 + 🌈 = 36,🌈 = 9
🐸 + 🐸 + 🐸 = 15,🐸 = 5
🍇 + 🍇 + 🍇 + 🍇 = 40,🍇 = 10
🚀 + 🚀 = 22,🚀 = 11
🧁 + 🧁 + 🧁 = 30,🧁 = 10
🎮 + 🎮 = 18,🎮 = 9
🍩 + 🍩 + 🍩 = 27,🍩 = 9
🐠 + 🐠 = 16,🐠 = 8
🥑 + 🥑 - 🥑 = 7,🥑 = 7
🐼 + 🐼 = 20,🐼 = 10
🎵 + 🎵 + 🎵 = 15,🎵 = 5
👟 + 👟 + 👟 = 18,👟 = 6
🍒 + 🍒 = 14,🍒 = 7
📦 + 📦 + 📦 = 27,📦 = 9
🔑 + 🔑 + 🔑 + 🔑 = 40,🔑 = 10
🍭 + 🍭 = 12,🍭 = 6
🎲 + 🎲 + 🎲 = 18,🎲 = 6
🍔 + 🍔 + 🍔 + 🍔 = 32,🍔 = 8
